date,EUR,USD,PLN,TRY
2018-01-01,2675.2839,2230.1448,640.4797,588.4401
2018-01-02,2675.2839,2230.1448,642.5873,590.0494
2018-01-03,2675.2839,2230.1448,642.2942,590.5313
2018-01-04,2683.2230,2230.5627,645.7040,591.4482
2018-01-05,2683.2230,2231.5677,645.7195,594.5937
2018-01-06,2692.9460,2231.5677,648.0594,596.7483
2018-01-07,2688.1920,2231.4184,646.9153,595.6948
2018-01-08,2688.1920,2231.4184,645.2229,598.8799
2018-01-09,2675.4634,2231.4184,640.1396,596.6290
2018-01-10,2675.4634,2231.9657,639.8487,587.3943
2018-01-11,2678.5188,2232.2841,641.0240,586.7768
2018-01-12,2681.2319,2232.2841,642.6422,588.1571
2018-01-13,2681.2319,2233.1498,642.6422,588.1571
2018-01-14,2681.2319,2233.1498,642.6422,588.1571
2018-01-15,2681.2319,2233.1498,643.1972,577.3291
2018-01-16,2737.5119,2233.1498,656.2731,589.5109
2018-01-17,2737.5119,2233.5180,656.2731,586.7690
2018-01-18,2729.6601,2236.2345,655.1446,588.6186
2018-01-19,2729.6601,2236.2345,654.3437,586.3050
2018-01-20,2735.8743,2236.6524,655.8333,587.6397
2018-01-21,2741.1244,2236.3738,657.0919,588.7674
2018-01-22,2741.1244,2236.3738,657.2337,588.8306
2018-01-23,2741.1244,2236.3738,657.4070,592.0994
2018-01-24,2741.6261,2237.7867,659.6314,592.6174
2018-01-25,2741.6261,2237.7867,661.1266,590.7404
2018-01-26,2760.2231,2237.8066,666.3664,591.8780
2018-01-27,2776.6826,2237.9061,670.3401,595.4074
2018-01-28,2783.1444,2238.6922,671.9001,596.7931
2018-01-29,2783.1444,2238.6922,671.6730,595.2613
2018-01-30,2783.1444,2238.6922,671.4624,594.2699
2018-01-31,2772.1362,2238.7519,667.9363,593.1987
2018-02-01,2782.7507,2239.0007,669.8483,596.1717
2018-02-02,2789.4607,2239.0007,671.4958,596.1023
2018-02-03,2795.1826,2238.0255,672.8732,597.3251
